,Rotational_Speed,Mass_flow,Pressure_ratio,Polytropic_efficiency
0,10000,0.0289,1.02439,0.73869
1,10000,0.0301,1.02425,0.74346
2,10000,0.0312,1.02409,0.74744
3,10000,0.0324,1.0239,0.75065
4,10000,0.0335,1.0237,0.75309
5,10000,0.0347,1.02347,0.75478
6,10000,0.0358,1.02323,0.75568
7,10000,0.037,1.02296,0.7559
8,10000,0.0381,1.02268,0.75556
9,10000,0.0393,1.02239,0.75441
10,10000,0.0404,1.02205,0.7519
11,10000,0.0416,1.02166,0.74753
12,10000,0.0428,1.02122,0.74102
13,10000,0.0439,1.02072,0.73193
14,10000,0.0451,1.02013,0.71981
15,10000,0.0462,1.01946,0.70418
16,10000,0.0474,1.01869,0.68453
17,10000,0.0485,1.0178,0.66024
18,10000,0.0497,1.01679,0.63058
19,10000,0.0508,1.01564,0.59458
20,10000,0.052,1.01431,0.55098
21,10000,0.0531,1.01277,0.49804
22,10000,0.0543,1.01096,0.43321
23,10000,0.0554,1.0088,0.35245
24,10000,0.0566,1.00613,0.24884
25,20000,0.0583,1.10003,0.73972
26,20000,0.0606,1.09948,0.74443
27,20000,0.0629,1.09882,0.74837
28,20000,0.0652,1.09808,0.75155
29,20000,0.0675,1.09724,0.75397
30,20000,0.0698,1.09632,0.75565
31,20000,0.0721,1.09531,0.75655
32,20000,0.0743,1.09422,0.75677
33,20000,0.0766,1.09309,0.75645
34,20000,0.0789,1.09186,0.75534
35,20000,0.0812,1.09049,0.75289
36,20000,0.0835,1.08891,0.74862
37,20000,0.0858,1.08709,0.74223
38,20000,0.0881,1.085,0.7333
39,20000,0.0904,1.08258,0.72136
40,20000,0.0927,1.0798,0.70593
41,20000,0.095,1.07662,0.68651
42,20000,0.0973,1.07297,0.66248
43,20000,0.0996,1.0688,0.63309
44,20000,0.1019,1.06403,0.59738
45,20000,0.1042,1.05855,0.55408
46,20000,0.1065,1.05221,0.5014
47,20000,0.1088,1.04481,0.43703
48,20000,0.1111,1.03604,0.35714
49,20000,0.1134,1.02526,0.25461
50,30000,0.0895,1.23533,0.74338
51,30000,0.0929,1.23411,0.74789
52,30000,0.0963,1.23268,0.75167
53,30000,0.0996,1.23102,0.75473
54,30000,0.103,1.22916,0.75708
55,30000,0.1064,1.22708,0.75873
56,30000,0.1098,1.22479,0.75963
57,30000,0.1132,1.22232,0.75989
58,30000,0.1166,1.21972,0.75964
59,30000,0.12,1.21693,0.75868
60,30000,0.1234,1.21382,0.75651
61,30000,0.1268,1.21022,0.75262
62,30000,0.1301,1.20607,0.74673
63,30000,0.1335,1.20127,0.73841
64,30000,0.1369,1.1957,0.7272
65,30000,0.1403,1.18927,0.71262
66,30000,0.1437,1.18187,0.69416
67,30000,0.1471,1.17339,0.67121
68,30000,0.1505,1.16368,0.64307
69,30000,0.1539,1.15263,0.60894
70,30000,0.1573,1.14001,0.56768
71,30000,0.1607,1.12536,0.51712
72,30000,0.164,1.10819,0.45467
73,30000,0.1674,1.08783,0.37665
74,30000,0.1708,1.06296,0.27617
75,40000,0.1242,1.4454,0.75057
76,40000,0.1286,1.44337,0.75471
77,40000,0.1329,1.44093,0.75822
78,40000,0.1372,1.4381,0.76109
79,40000,0.1415,1.43489,0.76334
80,40000,0.1458,1.43131,0.76497
81,40000,0.1502,1.42734,0.76593
82,40000,0.1545,1.42305,0.7663
83,40000,0.1588,1.41851,0.76622
84,40000,0.1631,1.41369,0.76559
85,40000,0.1675,1.40836,0.76405
86,40000,0.1718,1.40219,0.76105
87,40000,0.1761,1.39505,0.75631
88,40000,0.1804,1.38672,0.74943
89,40000,0.1848,1.377,0.73994
